model,category,key_no,symbol,part_number,description
SX-1050,Receiver,,,ASK-092,Lever switch (TAPE DUPLICATE)
SX-1050,Receiver,,,AAG-105,Dial panel
SX-1050,Receiver,,,AAF-051,Dial pointer
SX-1050,Receiver,,,ASG-095,Push switch (FUNCTION)
SX-1050,Receiver,,,AAT-025,Shaft cover
SX-1050,Receiver,,,AXA-111,Tuning shaft assembly
SX-1050,Receiver,,,ASK-090,Lever switch (MUTING)
SX-1050,Receiver,,,ACV-169,Variable resistor (VOLUME) 50kΩ
SX-1050,Receiver,,,ASK-090,Lever switch (LOUDNESS)
SX-1050,Receiver,,,ASK-090,Lever switch (MODE)
SX-1050,Receiver,,,ACV-163,Variable resistor (BALANCE) 100kΩ-HB
SX-1050,Receiver,,,ASK-090,Lever switch (ADAPTOR)
SX-1050,Receiver,,,ASK-090,Lever switch (TAPE MONITOR 2)
SX-1050,Receiver,,,ASK-090,Lever switch (TAPE MONITOR 1)
SX-1050,Receiver,,,AXA-113,Tuning drum assembly
SX-1050,Receiver,,,AWE-067,Tuner assembly
SX-1050,Receiver,,,AWR-103,Power supply assembly-A
SX-1050,Receiver,,,AWH-047,Power amplifier assembly
SX-1050,Receiver,,,AWM-090,Protection Assembly
SX-1050,Receiver,,,ASR-015,Relay
SX-1050,Receiver,,,AWX-098,Surge current suppressor assembly
SX-1050,Receiver,,,AWG-041,Control amplifier assembly
SX-1050,Receiver,,,AWS-095,Speaker switch assembly
SX-1050,Receiver,,,AWR-104,Power supply assembly-B
SX-1050,Receiver,,,AEK-106,Fuse 1A (FU1~FU4)
SX-1050,Receiver,,,AWG-040,Flat amplifier assembly
SX-1050,Receiver,,,AWS-094,Function switch assembly
SX-1050,Receiver,,,AWM-089,Filter amplifier assembly
SX-1050,Receiver,,,AWF-020,Equalizer amplifier assembly
SX-1050,Receiver,,,AKB-030,Terminal (TAPE 2)
SX-1050,Receiver,,,AKB-030,Terminal (TAPE 1)
SX-1050,Receiver,,,AKB-033,Terminal (INPUT)
SX-1050,Receiver,,,AKE-012,Terminal (GND)
SX-1050,Receiver,,,W72-092,Bar-antenna holder
SX-1050,Receiver,,,AKA-004,Terminal (ANTENNA)
SX-1050,Receiver,,,AKB-030,Terminal (PRE/POWER AMP)
SX-1050,Receiver,,,AKP-007,REC-PB connector socket (5P)
SX-1050,Receiver,,,AKB-030,Terminal (ADAPTOR)
SX-1050,Receiver,,,AKB-019,Terminal (FM DET.OUT)
SX-1050,Receiver,,,ASH-015,Slide switch (DE-EMPHASIS)
SX-1050,Receiver,,,AKE-014,Terminal (SPEAKERS)
SX-1050,Receiver,,,ADG-013,AC power cord
SX-1050,Receiver,,,AKP-005,AC socket (AC OUTLETS)
SX-1050,Receiver,,,AKM-004,Jumper plug
SX-1050,Receiver,,Q23,2SB539C-S,Transistor
SX-1050,Receiver,,Q24,2SB539C-S,Transistor
SX-1050,Receiver,,Q25,2SD287C-S,Transistor
SX-1050,Receiver,,Q26,2SD287C-S,Transistor
SX-1050,Receiver,,O27,2SB539C-S,Transistor
SX-1050,Receiver,,Q28,2SB539C-S,Transistor
SX-1050,Receiver,,Q29,2SD287C-S,Transistor
SX-1050,Receiver,,Q30,2SD287C-S,Transistor
SX-1050,Receiver,,,ATT-266,Power transformer
SX-1050,Receiver,,R1,RD½PS 225J,Carbon film 2.2M ½W
SX-1050,Receiver,,C1,ACH-056,Electrolytic 22000 80V
SX-1050,Receiver,,C2,ACH-056,Electrolytic 22000 80V
SX-1050,Receiver,,C3,ACG-003,Ceramic 0.01 150V
SX-1050,Receiver,,C4,ACG-003,Ceramic 0.01 150V
SX-1050,Receiver,,C5,CKDYF 103Z 50,Ceramic 0.01 50V
SX-1050,Receiver,,C6,CKDYF 103Z 50,Ceramic 0.01 50V
SX-1050,Receiver,,C7,CKDYF 103Z 50,Ceramic 0.01 50V
SX-1050,Receiver,,C8,CKDYF 103Z 50,Ceramic 0.01 50V
SX-1050,Receiver,,C9,CKDYF 103Z 50,Ceramic 0.01 50V
SX-1050,Receiver,,C10,CKDYF 103Z 50,Ceramic 0.01 50V
SX-1050,Receiver,,C11,CKDYF 103Z 50,Ceramic 0.01 50V
SX-1050,Receiver,,,AEK-106,Fuse 1A
SX-1050,Receiver,,,AEK-104,Fuse 1.5A
SX-1050,Receiver,,,AEK-302,Fuse 10A
SX-1050,Receiver,,PL1,AEL-056,PL1 Lamp assembly 8V
SX-1050,Receiver,,PL2,AEL-056,PL2 Lamp assembly 8V
SX-1050,Receiver,,PL3,AEL-056,PL3 Lamp assembly 8V
SX-1050,Receiver,,PL4,AEL-056,PL4 Lamp assembly 8V
SX-1050,Receiver,,PL5,AEL-074,PL5 Lamp with wire 8V
SX-1050,Receiver,,PL6,AEL-072,PL6 Lamp with wire 8V
SX-1050,Receiver,,PL7,AEL-073,PL7 Lamp with wire 8V
SX-1050,Receiver,,PL8,AEL-076,PL8 Lamp with wire 8v
SX-1050,Receiver,,PL9,AEL-075,PL9 Lamp with wire 8V
SX-1050,Receiver,,PL10,AEL-074,PL10 Lamp with wire 8V
SX-1050,Receiver,,PL11,AEL-072,PL11 Lamp with wire 8V
SX-1050,Receiver,,PL12,AEL-073,PL12 Lamp with wire 8V
SX-1050,Receiver,,PL13,AEL-069,PL13 Lamp with wire 8V
SA-9900,Integrated Amplifier,,Q21,"2SA679S-Y or R (2SA747A-R, O or Y)",Transistor
SA-9900,Integrated Amplifier,,Q22,"2SA679S-V or R (2SA747A-R, O or Y)",Transistor
SA-9900,Integrated Amplifier,,Q23,"2SC1079S-Y or R (2SC111GA-R, O or V)",Transistor
SA-9900,Integrated Amplifier,,Q24,"2SC1079S-Y or R (2SC1116A-R, O or V)",Transistor
SA-9900,Integrated Amplifier,,Q25,"2SA679S-Y or R (2SA747A-R, O or Y)",Transistor
SA-9900,Integrated Amplifier,,Q26,"2SA679S-V or R (2SA747A-R, O or Y)",Transistor
SA-9900,Integrated Amplifier,,O27,"2SC1079S-Y or R (2SC111GA-R, O or V)",Transistor
SA-9900,Integrated Amplifier,,Q28,"2SC1079S-Y or R (2SC1116A-R, O or V)",Transistor
SX-950,Receiver,,,ANB-374,Front panel assembly
SX-950,Receiver,,,AAD-114,Knob (SPEAKERS C)
SX-950,Receiver,,,AAD-114,Knob (SPEAKERS B)
SX-950,Receiver,,,AAD-114,Knob (SPEAKERS A)
SX-950,Receiver,,,AAB-100,Knob (BASS)
SX-950,Receiver,,,AAD-113,Knob (POWER)
SX-950,Receiver,,,AAD-113,Knob (BASS TURNOVER)
SX-950,Receiver,,,AAD-113,Knob (TONE)
SX-950,Receiver,,,AAD-113,Knob (TREBLE TURNOVER)
SX-950,Receiver,,,AAB-100,Knob (TREBLE)
SX-950,Receiver,,,AAD-113,Knob (TAPE MONITOR 1)
SX-950,Receiver,,,AAD-113,Knob (LOW FILTER)
SX-950,Receiver,,,AAD-113,Knob (DUPLICATE)
SX-950,Receiver,,,AAD-113,Knob (HIGH FILTER)
SX-950,Receiver,,,AAD-114,Knob (FM MPX NOISE FIL)
SX-950,Receiver,,,AAD-114,Knob (FM MUTING)
SX-950,Receiver,,,AAD-114,Knob (AM)
SX-950,Receiver,,,AAD-114,Knob (FM)
SX-950,Receiver,,,AAD-114,Knob (PHONO 1)
SX-950,Receiver,,,AAD-114,Knob (PHONO 2/MIC)
SX-950,Receiver,,,AAD-114,Knob (AUX)
SX-950,Receiver,,,AAA-034,Knob (TUNING)
SX-950,Receiver,,,AAB-103,Knob (VOLUME)
SX-950,Receiver,,,AAD-113,Knob (MUTING)
SX-950,Receiver,,,AAD-113,Knob (LOUDNESS)
SX-950,Receiver,,,AAD-113,Knob (MODE)
SX-950,Receiver,,,AAB-100,Knob (BALANCE)
SX-950,Receiver,,,AAD-113,Knob (ADAPTOR)
SX-950,Receiver,,,AAD-113,Knob (TAPE MONITOR 2)
SX-950,Receiver,,,AAW-040,Double meter (SIGNAL/TUNING)
SX-950,Receiver,,,AAT-028,Indicator (STEREO)
SX-950,Receiver,,,AAT-026,"Indicator (SP-A, SP-B, SP-C)"
SX-950,Receiver,,,ASG-094,Push switch (SPEAKE HS)
SX-950,Receiver,,,AKN-010,Phone jack (PHONES)
SX-950,Receiver,,,ACV-136,"Variable resistor(100k-B, BASS)"
SX-950,Receiver,,,ASK-091,Lever switch (BASS TURNOVER)
SX-950,Receiver,,,ASK-090,Lever switch (TONE)
SX-950,Receiver,,,ASK-089,Lever switch (TREBLE TURNOVER)
SX-950,Receiver,,,ACV-136,"Variable resistor (100k-B, TREBLE)"
SX-950,Receiver,,,ASK-092,Lever switch (ADAPTOR)
SX-950,Receiver,,,ASK-092,Lever switch (TAPE MONITOR 2)
SX-950,Receiver,,,ASK-092,Lever switch (TAPE MONITOR 1)
SX-950,Receiver,,,ASK-089,Lever switch (LOW FILTER)
SX-950,Receiver,,,ASK-089,Lever switch (HIGH FILTER)
SX-950,Receiver,,,ASK-092,Lever switch (DUPLICATE)
SX-950,Receiver,,,AAG-105,Dial scale board
SX-950,Receiver,,,AAT-027,"Indicator (AM, FM, PH-1, PH-2, AUX)"
SX-950,Receiver,,,ASG-096,"Push switch (FM MUTING, MPX NOISE FIL"
SX-950,Receiver,,,ASG-095,"Push switch (AM, FM, PHONO 1, PHONO 2/MIC, AUX)"
SX-950,Receiver,,,AXA-111,Tuning shaft assembly
SX-950,Receiver,,,AKN-012,Phone jack (MIC)
SX-950,Receiver,,,ASK-089,Lever switch (MUTING)
SX-950,Receiver,,,ACV-164,Variabie resistor (50k-B2/VOLUME)
SX-950,Receiver,,,ASK-089,Lever switch (LOUDNESS)
SX-950,Receiver,,,ASK-090,Lever switch (MODE)
SX-950,Receiver,,,ACV-163,Variable resistor (100k-HB/ BALANCE)
SX-950,Receiver,,,AEC-101,Pulley
SX-950,Receiver,,,AXA-113,Tuning drum assembly
SX-950,Receiver,,,AWE-066,Tuner assembly
SX-950,Receiver,,,AWH-050,Power amplifier assembly
SX-950,Receiver,,,AEC-260,Acrylic board
SX-950,Receiver,,,AWX-096,Lamp board assembly
SX-950,Receiver,,,AEC-256,Pully (small)
SX-950,Receiver,,,AEL-056,Lamp assembly (PL1—PL4)
SX-950,Receiver,,,AEL-029,"Lamp (8V, 0.3A, wedge-type)"
SX-950,Receiver,,,AKK-004,Socket (wedge-type)
SX-950,Receiver,,,AWG-039,Tone amplifier assembly
SX-950,Receiver,,,ACG-003,"Ceramic capacitor (0.01pF 150V,DC1.4kV)"
SX-950,Receiver,,,AWS-095,Switch assembly
SX-950,Receiver,,,AWS-093,Switch assembly
SX-950,Receiver,,,AWR-101,Power supply assembly
SX-950,Receiver,,,ACG-003,"Ceramic capacitor(0.01uF 150V, DC1.4kV)"
SX-950,Receiver,,,AWG-038,Flat amplifier assembly
SX-950,Receiver,,,AWS-094,Switch assembly
SX-950,Receiver,,,AWF-011,Equalizer amplifier assembly
SX-950,Receiver,,,AWM-062,Protection circuit assembly
SX-950,Receiver,,,AWH-050,Power amplifier assembly
SX-950,Receiver,,,T22-025,Ferrite balun
SX-950,Receiver,,,AKB-030,Terminal (TAPE 2)
SX-950,Receiver,,,AKB-030,Terminal (TAPE 1)
SX-950,Receiver,,,AKB-033,Terminal (INPUT)
SX-950,Receiver,,,AKE-012,Terminal (GND)
SX-950,Receiver,,,W72-092,Bar-antenna holder
SX-950,Receiver,,,AKA-004,Terminal (ANTENNA)
SX-950,Receiver,,,AKB-030,Terminal (PRE/POWER AMP)
SX-950,Receiver,,,AKP-007,Connector socket 5P (REC/PLAY)
SX-950,Receiver,,,AKB-030,Terminal (ADAPTOR)
SX-950,Receiver,,,AKB-030,Terminal (FM DET. OUT)
SX-950,Receiver,,,ASH-015,Slide switch (DE-EMPHASIS)
SX-950,Receiver,,,AKE-014,Terminal (SPEAKERS)
SX-950,Receiver,,,ADG-005,AC power cord
SX-950,Receiver,,,AKP-005,AC socket (AC OUTLETS)
SX-950,Receiver,,,AKM-004,Jumper plug
SX-950,Receiver,,Q1,2SB557-R,Transistor
SX-950,Receiver,,Q2,2SB557-R,Transistor
SX-950,Receiver,,O3,2SD427-R,Transistor
SX-950,Receiver,,Q4,2SD427-R,Transistor
SX-950,Receiver,,Q5,2SB557- R,Transistor
SX-950,Receiver,,Q6,2SB557-R,Transistor
SX-950,Receiver,,Q7,2SD427-R,Transistor
SX-950,Receiver,,Q8,2SD427-R,Transistor
SX-950,Receiver,,PL5,AEL-069,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL6,AEL-076,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL7,AEL-075,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL8,AEL-074,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL9,AEL-072,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL10,AEL-073,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL11,AEL-074,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL12,AEL-072,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,PL13,AEL-073,"Lamp with leads (8V, 50mA)"
SX-950,Receiver,,FU1,AEK-109,Fuse 6A (primary)
SX-950,Receiver,,FU2,AEK-106,Fuse 1A
SX-950,Receiver,,FU3,AEK-106,Fuse 1A
SX-950,Receiver,,FU4,AEK-106,Fuse 1A
SX-950,Receiver,,FU5,AEK-106,Fuse 1A
SX-950,Receiver,,FU6,AEK-104,Fuse 1.5A (lamp circuit)
SX-950,Receiver,,S1,ASR-019,Relay
SX-950,Receiver,,S2,ASK-080,Lever switch (POWER)
SX-950,Receiver,,T1,ATT-265,Power transformer
SX-950,Receiver,,T2,T22-025,Ferrite balun
SX-950,Receiver,,T3,ATB-046,Ferrite bar-antenna
SX-950,Receiver,,R1,RS2P 272J,Metal oxide 2.7k 2W
SX-950,Receiver,,R2,RS2P 272J,Metal oxide 2.7k 2W
SX-950,Receiver,,R3,RD½PS 225J,Carbon film 2.2M ½W
SX-950,Receiver,,C1,ACH-059,Electrolytic 22000 63V
SX-950,Receiver,,C2,ACH-059,Electrolytic 22000 63V
SX-950,Receiver,,C3,ACG-003,Ceramic 0.01 150V (DC1.4kV)
SX-950,Receiver,,C4,ACG-003,Ceramic 0.01 150V (DC1.4kV)
SX-950,Receiver,,C5,CKDYF 103Z 50,Ceramic 0.01 50V
SX-950,Receiver,,C6,CKDYF 103Z 50,Ceramic 0.01 50V
SX-950,Receiver,,C7,CKDYF 103Z 50,Ceramic 0.01 50V
SX-950,Receiver,,CB,CKDYF 103Z 50,Ceramic 0.01 50V
SX-950,Receiver,,C9,CKDYF 103Z 50,Ceramic 0.01 50V
SX-950,Receiver,,C10,CKDYF 103Z 50,Ceramic 0.01 50V
SX-950,Receiver,,C11,CKDYF 103Z 50,Ceramic 0.01 50V
SX-950,Receiver,,C12,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,,ANB-438,Front panel assembly
SX-850,Receiver,,,AAD-114,Knob (FM MUTING)
SX-850,Receiver,,,AAD-114,Knob (FM MPX NOISE FILTER)
SX-850,Receiver,,,AAD-114,Knob (SPEAKERS B)
SX-850,Receiver,,,AAD-114,Knob (SPEAKERS A)
SX-850,Receiver,,,AAD-114,Knob (AM)
SX-850,Receiver,,,AAD-114,Knob (FM)
SX-850,Receiver,,,AAD-114,Knob (PHONO 1)
SX-850,Receiver,,,AAD-114,Knob (PHONO 2/MIC)
SX-850,Receiver,,,AAD-114,Knob (AUX)
SX-850,Receiver,,,AAD-113,Knob (POWER)
SX-850,Receiver,,,AAB-100,Knob (BASS)
SX-850,Receiver,,,AAD-113,Knob (BASS TURNOVER)
SX-850,Receiver,,,AAD-113,Knob (TONE)
SX-850,Receiver,,,AAD-113,Knob (TREBLE TURNOVER)
SX-850,Receiver,,,AAB-100,Knob (TR EBLE)
SX-850,Receiver,,,AAD-113,Knob (LOW FILTER)
SX-850,Receiver,,,AAD-113,Knob (HIGH FILTER)
SX-850,Receiver,,,AAA-034,Knob (TUNlNG)
SX-850,Receiver,,,AAD-113,Knob (MUTING)
SX-850,Receiver,,,AAB-103,Knob (VOLUME)
SX-850,Receiver,,,AAD-113,Knob (LOUDNESS)
SX-850,Receiver,,,AAD-113,Knob (MODE)
SX-850,Receiver,,,AAD-113,Knob (ADAPTOR)
SX-850,Receiver,,,AAB-100,Knob (BALANCE)
SX-850,Receiver,,,AAD-113,Knob (TAPE MONITOR 2)
SX-850,Receiver,,,AAD-113,Knob (TAPE MONITOR 1)
SX-850,Receiver,,,AAD-113,Knob (TAPE DUPLICATE)
SX-850,Receiver,,,AAT-028,Indicator (STEREO)
SX-850,Receiver,,,AAW-040,Double meter (SIGNAL/TUNING)
SX-850,Receiver,,,AAT-037,"Indicator (SP A, B)"
SX-850,Receiver,,,ASG-096,"Push switch (FM MUTING, FM MPX NOISE FILTER)"
SX-850,Receiver,,,ASG-113,"Push switch (SPEAKERS A, B)"
SX-850,Receiver,,,AKN-010,Phone jack (PHONES)
SX-850,Receiver,,,ASK-066,Lever switch (POWER)
SX-850,Receiver,,,ACV-136,Variable resistor 100k-B (BASS)
SX-850,Receiver,,,ASK-091,Lever switch (BASS TURNOVER)
SX-850,Receiver,,,ASK-090,Lever switch (TONE)
SX-850,Receiver,,,ASK-089,Lever switch (TREBLE TURNOVER)
SX-850,Receiver,,,ACV-136,Variable resistor 100k-B (TREBLE)
SX-850,Receiver,,,ASK-089,Lever switch (LOW FILTER)
SX-850,Receiver,,,ASK-089,Lever switch (HIGH FILTER)
SX-850,Receiver,,,AAG-116,Dial scale board
SX-850,Receiver,,,AAT-027,"Indicator (AM, FM, PHONO 1, PHONO 2/MIC, AUX)"
SX-850,Receiver,,,ASG-095,"Push switch (AM, FM, PHONO 1, PHONO 2/MIC, AUX)"
SX-850,Receiver,,,ANK-012,Phone jack (MIC)
SX-850,Receiver,,,ASK-089,Lever switch (MUTING)
SX-850,Receiver,,,AXA-111,Tuning shaft assembly
SX-850,Receiver,,,ACV-164,Variable resistor 50k-B2 (VOLUME)
SX-850,Receiver,,,ASK-089,Lever switch (LOUDNESS)
SX-850,Receiver,,,ASK-090,Lever switch (MODE)
SX-850,Receiver,,,ACV-163,Variable resistor 100k-HB (BALANCE)
SX-850,Receiver,,,ASK-092,Lever switch (ADAPTOR)
SX-850,Receiver,,,ASK-092,Lever switch (TAPE MONITOR 2)
SX-850,Receiver,,,ASK-092,Lever switch (TAPE MONITOR 1)
SX-850,Receiver,,,ASK-092,Lever switch (DUPLICATE)
SX-850,Receiver,,,AXA-113,Tuning drum assembly
SX-850,Receiver,,,AWE-071,Tuner assembly
SX-850,Receiver,,,ASR-019,Relay (S2)
SX-850,Receiver,,,AWX-096,Lamp board assembly
SX-850,Receiver,,,AEC-256,Pulley (small)
SX-850,Receiver,,,AEL-029,"Lamp (8V, 0.3A, wedge-type)"
SX-850,Receiver,,,AKK-004,Socket (wedge-type)
SX-850,Receiver,,,ACH-068,"Electrolytic capacitor (15,000uF, 50V)"
SX-850,Receiver,,,AWS-099,Speaker Switch assembly
SX-850,Receiver,,,AWS-093,FM Muting Switch assembly
SX-850,Receiver,,,AWR-101,Power supply assembly (KC/KU/S)
SX-850,Receiver,,,AEK-106,Fuse 1A (FU4)
SX-850,Receiver,,,AEK-106,Fuse 1A (FU5)
SX-850,Receiver,,,AEK-106,Fuse 1A (FU2)
SX-850,Receiver,,,AEK-106,Fuse IA (FU3)
SX-850,Receiver,,,AEK-104,Fuse 1.5A (FU6)
SX-850,Receiver,,,AWG-039,Tone amplifier assembly
SX-850,Receiver,,,AWG-038,Flat amplifier assembly
SX-850,Receiver,,,AWS-094,Function Switch assembly
SX-850,Receiver,,,AWF-011,Equalizer amplifier assembly
SX-850,Receiver,,,AWM-062,Protection circuit assembly
SX-850,Receiver,,,AWH-059,Power amplifier assembly
SX-850,Receiver,,,AKB-035,Terminal (TAPE 2)
SX-850,Receiver,,,AKB-035,Terminal (TAPE 1)
SX-850,Receiver,,,AKB-038,Terminal (PHONO 1/ PHONO2/ AUX)
SX-850,Receiver,,,AKE-012,Terminal (GND)
SX-850,Receiver,,,AKP-007,5P connector socket (REC/PLAY)
SX-850,Receiver,,,AKB-035,Terminal (ADAPTOR)
SX-850,Receiver,,,AKB-040,Terminal (FM DET. OUT)
SX-850,Receiver,,,ASH-015,Slide switch (DE-EMPHASIS)
SX-850,Receiver,,,AKE-029,Terminal (SPEAKER)
SX-850,Receiver,,,AKP-005,AC socket (AC OUTLETS)
SX-850,Receiver,,,AKA-004,Terminal (ANTENNA)
SX-850,Receiver,,,AKB-035,Terminal (PRE/POWER) Jumper plug
SX-850,Receiver,,,AKM-004,Jumper plug
SX-850,Receiver,,Q1,2SB531A-R,Transistor
SX-850,Receiver,,Q2,2SB531A-R,Transistor
SX-850,Receiver,,Q3,2SD371A-R,Transistor
SX-850,Receiver,,Q4,2SD371A-R,Transistor
SX-850,Receiver,,Q5,288531A-R,Transistor
SX-850,Receiver,,Q6,288531A-R,Transistor
SX-850,Receiver,,Q7,2SD371A-R,Transistor
SX-850,Receiver,,Q8,2SD371A-R,Transistor
SX-850,Receiver,,PL5,AEL-069,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,PL6,AEL-076,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,PL7,AEL-075,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,PL8,AEL-082,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,PL9,AEL-072,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,PL10,AEL-073,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,PL11,AEL-072,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,PL12,AEL-073,"Lamp with leads (8V, 50mA)"
SX-850,Receiver,,FU1,AEK-108,Fuse SA (primary)
SX-850,Receiver,,FU2,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,,FU3,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,,FU4,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,,FU5,AEK-106,Fuse 1A (secondary)
SX-850,Receiver,,FU6,AEK-104,Fuse 1.5A (lamp circuit)
SX-850,Receiver,,T1,ATT-302,Power transformer
SX-850,Receiver,,T2,T22-025,Ferrite balun
SX-850,Receiver,,T3,AXB-009,Bar-antenna assembly
SX-850,Receiver,,R1,RS2P 472J,Metal oxide 4.7k 2W
SX-850,Receiver,,R2,RS2P 472J,Metal oxide 4.7k 2W
SX-850,Receiver,,R3,RD½PS 225J,Carbon film 2.2M ½W
SX-850,Receiver,,C1,ACH-068,"Electrolytic 15,000 50V"
SX-850,Receiver,,C2,ACH-068,"Electrolytic 15,000 50V"
SX-850,Receiver,,C3,ACG-003,Ceramic 0.01 150V (DC1.4kV)
SX-850,Receiver,,C4,ACG-003,Ceramic 0.01 150V (DC1.4kV)
SX-850,Receiver,,C5,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,C6,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,C7,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,C8,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,C9,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,C10,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,C11,CKDYF 103Z 50,Ceramic 0.01 50V
SX-850,Receiver,,C12,CKDYF 103Z 50,Ceramic 0.01 50V
SX-750,Receiver,,,ANB-421,Front panel assembly
SX-750,Receiver,,,AKN-010,Phone jack (Head phone)
SX-750,Receiver,,,AAB-100,Knob (SPEAKERS)
SX-750,Receiver,,,AAB-099,Knob (BASS)
SX-750,Receiver,,,AAB-099,Knob (TREBLE)
SX-750,Receiver,,,AAD-113,Knob (TONE)
SX-750,Receiver,,,AAD-113,Knob (HIGH FILTER)
SX-750,Receiver,,,AAB-099,Knob (BALANCE)
SX-750,Receiver,,,AAA-036,Knob (TUNING)
SX-750,Receiver,,,AAD-112,Knob (FM MUTING)
SX-750,Receiver,,,AKN-013,Phone jack (MIC)
SX-750,Receiver,,,AAB-100,Knob (FUNCTION)
SX-750,Receiver,,,AAD-113,Knob (TAPE MONITOR)
SX-750,Receiver,,,AAD-113,Knob (DUPLICATE)
SX-750,Receiver,,,AAD-113,Knob (MODE)
SX-750,Receiver,,,AAD-113,Knob (LOUDNESS)
SX-750,Receiver,,,AAB-100,Knob (VOLUME)
SX-750,Receiver,,,AEC-241,"INDICATOR (POWER, STEREO)"
SX-750,Receiver,,,AKN-010,Phone jack (Headphones)
SX-750,Receiver,,,ASA-038,Rotary switch (SPEAKERS/POWER)
SX-750,Receiver,,,ASK-090,Lever switch (TONE)
SX-750,Receiver,,,ASK-090,Lever switch (HIGH FILTER)
SX-750,Receiver,,,ACV-138,Variable resistor (BASS)
SX-750,Receiver,,,ACV-138,Variable resistor (TREBLE)
SX-750,Receiver,,,ACV-135,Variable resistor (BALANCE)
SX-750,Receiver,,,AAF-048,Dial pointer assembly
SX-750,Receiver,,,AAW-040,Double meter
SX-750,Receiver,,,AEC-255,"INDICATOR (AM, FM, PHONO, AUX)"
SX-750,Receiver,,,AEC-254,Shaft cover
SX-750,Receiver,,,AXA-124,Tuning shaft assembly
SX-750,Receiver,,,AKN-013,Phone jack (MIC)
SX-750,Receiver,,,ASD-049,Rotary switch (FUNCTION)
SX-750,Receiver,,,ASK-102,Lever switch (TAPE MONITOR)
SX-750,Receiver,,,ASK-092,Lever switch (DUPLICATE)
SX-750,Receiver,,,ASK-090,Lever switch (MODE)
SX-750,Receiver,,,ASK-090,Lever switch (LOUDNESS)
SX-750,Receiver,,,ACV-179,Variable resistor 100k (VOLUME)
SX-750,Receiver,,,AWR-099,Power supply & Protection assembly
SX-750,Receiver,,,ATT-264,Power transfomer (KU model)
SX-750,Receiver,,,ATT-301,Power transfomer (KC model)
SX-750,Receiver,,,AEC-153,Pully
SX-750,Receiver,,,AEL-060,Lamp assembly
SX-750,Receiver,,,AEC-251,Acrylic board
SX-750,Receiver,,,AWE-073,"Tuner, AF & control assembly"
SX-750,Receiver,,,AXA-070,Tuning drum assembly
SX-750,Receiver,,,AWM-094,Filter & muting assembly
SX-750,Receiver,,,AWR-100,Power supply assembly
SX-750,Receiver,,,AWH-046,Power amplifier assembly
SX-750,Receiver,,,AWG-046,Tone control assembly
SX-750,Receiver,,,AKA-002,Terminal (ANTENNA)
SX-750,Receiver,,,AKB-027,Terminal (INPUT)
SX-750,Receiver,,,AKB-027,Terminal (TAPE 1)
SX-750,Receiver,,,AKB-027,Terminal (TAPE 2)
SX-750,Receiver,,,AKP-007,REC-PB connector socket (5P)
SX-750,Receiver,,,ASH-015,Slide switch (DE-EMPHASIS)
SX-750,Receiver,,,AMM-053,Wooden cabinet
SX-750,Receiver,,,AKE-029,Terminal (SPEAKER)
SX-750,Receiver,,,ADG-005,AC power cord
SX-750,Receiver,,Q1,2SD 338-H,Transistor
SX-750,Receiver,,Q2,2SB 541-R,Transistor
SX-750,Receiver,,Q3,2SD 338-H,Transistor
SX-750,Receiver,,Q4,2SB 541-R,Transistor
SX-750,Receiver,,PL1,AEL-060,"Lamp assembly (8V, 0.3A)"
SX-750,Receiver,,PL2,AEL-060,"Lamp assembly (8V, 0.3A)"
SX-750,Receiver,,PL3,AEL-060,"Lamp assembly (8V, 0.3A)"
SX-750,Receiver,,PL4,AEL-064,"Lamp with leads (8V, 50mA)"
SX-750,Receiver,,PL5,AEL-068,"Lamp with leads (8V, 50mA)"
SX-750,Receiver,,PL8,AEL-066,"Lamp with leads (8V, 50mA)"
SX-750,Receiver,,PL7,AEL-067,"Lamp with leads (8V, 50mA)"
